,10,11,12,13,21,22,23,31,32,9,2
0,89.71709,83.890205,82.317276,83.47639,82.76741,83.539085,84.93105,81.50095,77.934105,0.0,36.575996
3600,90.19508,84.43386,83.242096,84.146095,83.07269,84.091385,85.46853,81.422226,77.815956,0.0,37.511158
7200,90.44763,84.72109,83.887886,84.479904,83.045105,84.25295,85.6135,80.928764,77.23837,0.0,38.16392
10800,90.48245,84.760704,84.26116,84.489426,82.69778,84.04417,85.385895,80.03796,76.22846,0.0,38.54079
14400,90.83159,85.15783,84.37183,84.96069,83.51274,84.72904,86.09046,81.398285,77.71023,0.0,38.648098
18000,91.383255,85.78542,84.74357,85.63918,84.521034,85.57273,86.95253,82.87799,79.281296,0.0,39.01369
21600,92.12738,86.632065,85.36995,86.51552,85.70844,86.56142,87.958534,84.46063,80.919876,0.0,39.63155
25200,93.05285,87.685265,86.244774,87.578964,87.05617,87.67753,89.09192,86.1237,82.59058,0.0,40.495796
28800,94.14441,88.927795,87.36216,88.80578,88.529144,88.887985,90.33069,87.823006,84.21031,0.0,41.600716
32400,85.089165,85.089165,88.22289,89.61248,87.975464,89.52108,91.03816,87.77908,84.681656,0.0,42.51052
36000,84.44768,84.44768,87.67732,88.916504,87.15302,88.722824,90.23215,86.736916,83.58418,0.0,41.973476
39600,83.50292,83.50292,86.86039,87.89915,85.96714,87.56918,89.068184,85.258255,82.03181,0.0,41.16789
43200,82.25637,82.25637,85.77221,86.56266,84.42186,86.06384,87.550026,83.350204,80.03243,0.0,40.093792
46800,80.70914,80.70914,84.41289,84.908676,82.520134,84.20952,85.68052,81.01803,77.59191,0.0,38.75116
50400,78.86207,78.86207,82.78248,82.938545,80.26434,82.008385,83.46186,78.26594,74.71488,0.0,37.14002
54000,76.71587,76.71587,80.88105,80.65333,77.65641,79.462204,80.89588,75.09733,71.40513,0.0,35.26034
57600,86.804276,80.57872,79.29707,79.91837,78.61005,79.73452,81.08677,76.4752,72.761894,0.0,33.57086
61200,87.45847,81.32227,79.78534,80.70808,79.73865,80.6792,82.05028,78.07063,74.441536,0.0,34.051853
64800,88.30203,82.28123,80.52604,81.69278,81.04166,81.76473,83.15373,79.76402,76.181305,0.0,34.78301
68400,89.323944,83.44313,81.51338,82.86141,82.49917,82.97272,84.38024,81.53128,77.941284,0.0,35.75882
72000,90.51006,84.79211,82.74176,84.19,84.079575,84.27649,85.71627,83.330414,79.633446,0.0,36.973873
75600,91.88906,86.3609,84.20576,85.72669,85.91499,85.87671,87.32372,85.311195,81.379974,0.0,38.42301
79200,92.96591,87.58631,85.86344,87.30836,87.08528,87.39148,88.83344,86.36527,82.72578,0.0,40.09993
82800,93.82388,88.562904,87.22387,88.55495,87.999,88.650475,90.06637,87.0737,83.55184,0.0,41.476013
86400,94.43393,89.25743,88.293175,89.42514,88.524826,89.45368,90.85581,87.2943,83.77741,0.0,42.557457
