,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,2_3,25_29,33_36,28_40,16_18,18_20,20_23,22_35,29_34,8_10,28_34,28_34_34,26
43200,77.76513,61.51043,73.56757,73.47422,61.273273,53.203457,41.53989,56.77964,35.305042,50.683403,33.54955,25.375574,25.21098,28.181927,31.184942,43.388138,34.232914,58.616394,43.37854,37.321648,43.413647,28.173702,18.872707,31.148043,18.832878,49.3095,55.404728,55.404766,49.30855,31.02351,55.568394,34.269543,31.221525,55.404716,55.404716,61.510395,18.83285,34.269543,55.404728,43.38813,58.616394,37.321648,28.173702,55.404766,56.77964,55.404728,55.404728,17.28833
46800,80.82455,64.05059,76.04622,75.89305,63.685078,55.350117,43.08856,58.328415,36.76446,52.23229,34.852,26.248259,25.947624,28.85088,31.803333,44.056034,34.887943,59.271946,44.037422,37.992443,44.086163,28.846193,19.303333,31.711002,19.197618,49.67569,55.771244,55.77127,49.67515,31.388838,56.22412,34.942097,31.89409,55.771244,55.771244,64.05053,19.197515,34.942097,55.771244,44.056026,59.271946,37.992443,28.846193,55.77127,58.328415,55.771244,55.771244,17.610273
50400,80.425896,63.651928,75.63568,75.50164,63.29748,55.01794,42.896515,58.135937,36.60113,52.039413,34.749207,26.373718,26.153612,29.100353,32.09455,44.28281,35.125984,59.508095,44.27034,38.234676,44.321636,29.081768,19.781256,32.05648,19.742496,50.21484,56.30909,56.309185,50.212704,31.931398,56.46004,35.177387,32.12935,56.309074,56.309086,63.65188,19.74247,35.177387,56.30909,44.282803,59.508095,38.234676,29.081768,56.309185,58.135937,56.30909,56.30909,18.201576
54000,81.80939,65.03542,77.03219,76.8772,64.66886,56.328613,44.05369,59.293568,37.72682,53.19746,35.808464,27.182014,26.87328,29.771688,32.719376,44.98244,35.813644,60.19767,44.963448,38.91369,45.007828,29.767845,20.197994,32.62089,20.084522,50.562943,56.658577,56.658596,50.562496,32.27588,57.1499,35.863773,32.81576,56.658566,56.658577,65.03538,20.0844,35.863773,56.658577,44.982433,60.19767,38.91369,29.767845,56.658596,59.293568,56.658577,56.658577,18.491465
57600,82.89434,66.12037,78.122025,77.95924,65.74925,57.38619,45.053326,60.293293,38.71441,54.197258,36.770348,28.043879,27.699312,30.575388,33.500977,45.816055,36.64469,61.029194,45.796097,39.718822,45.814278,30.57429,20.88052,33.37404,20.730892,51.210445,57.30634,57.30634,51.21031,32.922714,57.981625,36.67027,33.622272,57.30634,57.30634,66.12032,20.730743,36.67027,57.30634,45.81604,61.029194,39.718822,30.57429,57.30634,60.293293,57.30634,57.30634,19.110916
61200,76.304085,61.018375,73.20273,73.20128,61.009266,53.37698,42.683952,57.92375,36.585487,51.827587,35.058594,27.437115,27.437057,30.485645,33.536034,45.703712,36.559097,60.94214,45.702206,39.62649,45.71955,30.47959,21.360807,33.540455,21.367643,51.845158,57.940582,57.94062,51.84446,33.55864,57.894054,36.57547,33.52746,57.940582,57.940582,61.018375,21.367662,36.57547,57.940582,45.703712,60.94214,39.62649,30.47959,57.94062,57.92375,57.940582,57.940582,19.850927
64800,76.01104,60.77104,72.962845,72.96303,60.771103,53.151665,42.485256,57.725197,36.3897,51.629166,34.866848,27.253172,27.255749,30.306343,33.357597,45.540527,36.39652,60.780262,45.54025,39.449554,45.544815,30.304827,21.180538,33.36176,21.186222,51.665596,57.76145,57.761456,51.665424,33.37797,57.732235,36.4008,33.35279,57.76145,57.76145,60.77104,21.186232,36.4008,57.76145,45.540527,60.780262,39.449554,30.304827,57.761456,57.725197,57.76145,57.76145,19.667133
68400,75.77402,60.534016,72.72543,72.72596,60.534206,52.915897,42.252647,57.492508,36.157997,51.396385,34.63746,27.03645,27.044163,30.099976,33.15774,45.3225,36.17848,60.561687,45.32167,39.241604,45.33538,30.09541,21.010605,33.170235,21.027674,51.505795,57.601364,57.601387,51.505272,33.21891,57.51361,36.191322,33.143307,57.60136,57.601364,60.534004,21.027702,36.191322,57.601364,45.3225,60.561687,39.241604,30.09541,57.601387,57.492508,57.601364,57.601364,19.518436
72000,75.210625,59.970623,72.16077,72.16247,59.971268,52.35669,41.70401,56.943554,35.612347,50.847145,34.09948,26.540667,26.565521,29.638683,32.71812,44.82238,35.67832,60.059772,44.8197,38.77503,44.863873,29.623978,20.670635,32.758373,20.725628,51.19957,57.29418,57.29426,51.197876,32.915173,57.011528,35.71968,32.67165,57.294174,57.294174,59.970623,20.7257,35.71968,57.29418,44.82238,60.059772,38.77503,29.623978,57.29426,56.943554,57.29418,57.29418,19.249168
75600,74.497284,59.257282,71.44653,71.44905,59.258244,51.646286,41.00105,56.240368,34.911495,50.143764,33.404022,25.874895,25.911814,28.997177,32.091873,44.153553,35.00947,59.389694,44.149582,38.12981,44.215187,28.975336,20.114492,32.151653,20.19617,50.667175,56.76112,56.761234,50.664665,32.384533,56.34134,35.0709,32.022854,56.761097,56.76111,59.257282,20.196293,35.0709,56.76112,44.153553,59.389694,38.12981,28.975336,56.761234,56.240368,56.76112,56.76112,18.74278
79200,74.120125,58.880123,71.07046,71.07198,58.88071,51.265587,40.61137,55.850952,34.519268,49.754585,33.005287,25.440315,25.462679,28.533318,31.609596,43.72266,34.578613,58.960327,43.72026,37.670437,43.76,28.520092,19.547588,31.645805,19.597063,50.07161,56.166363,56.166428,50.070084,31.78686,55.912113,34.61582,31.567793,56.166355,56.166355,58.880123,19.59713,34.61582,56.166363,43.72266,58.960327,37.670425,28.520092,56.166428,55.850952,56.166363,56.166363,18.115824
82800,73.59903,58.359028,70.54917,70.55087,58.359673,50.745094,40.092415,55.33196,34.00075,49.23555,32.487885,24.929071,24.953926,28.027088,31.106527,43.210785,34.06673,58.448177,43.208103,37.163433,43.252277,28.012383,19.05904,31.146776,19.114033,49.587975,55.68259,55.682663,49.586285,31.303577,55.399937,34.108086,31.060057,55.68258,55.68258,58.359028,19.114107,34.108086,55.68259,43.210785,58.448177,37.163433,28.012383,55.682663,55.33196,55.68259,55.68259,17.637573
86400,75.587105,59.84015,71.96508,71.91795,59.72138,51.875214,40.706184,55.94607,34.540077,49.84997,32.898846,24.996195,24.911894,27.920397,30.944939,43.14319,33.99318,58.37698,43.138157,37.062454,43.156647,27.916666,18.688179,30.925135,18.6666,49.145073,55.24072,55.240738,49.144638,30.857985,55.328987,34.012592,30.964594,55.240707,55.24072,59.84014,18.66658,34.012592,55.24072,43.14319,58.37698,37.062454,27.916666,55.240738,55.94607,55.24072,55.24072,17.131187
